ticker,closeprice,daychange,portweight
AMAT,122.78,-1.25,0.02
KHC,37.42,-3.05,0.01
FB,196.64,-2.01,0.1
C,43.45,-1.94,0.02
LRCX,523.59,-2.79,0.11
ADI,189.45,-1.25,0.03
NEM,47.79,-1.57,0.01
MU,61.34,-3.65,0.05
AEP,85.41,-3.61,0.04
FDX,216.92,-0.45,0.02
COO,344.96,-2.29,0.02
HCA,252.77,-2.45,0.02
CTSH,58.16,-0.47,0.07
DVA,75.24,-1.92,0.01
DHI,96.28,-0.66,0.03
SWK,75.47,-3.86,0.1
EL,238.72,-3.45,0.04
EQR,55.46,-2.11,0.03
FANG,126.63,-1.52,0.03
DUK,91.55,-1.56,0.08
