ticker,closeprice,daychange,portweight
AAPL,158.93,-1.06,0.12
MSFT,277.66,-2.10,0.03
AMZN,98.71,-1.71,0.05
FB,196.64,-1.01,0.09
TSLA,192.22,-3.56,0.12
JPM,126.84,-0.83,0.04
JNJ,151.13,-2.03,0.1
V,222.59,-1.98,0.05
PG,143.79,-0.31,0.02
NVDA,271.91,-0.28,0.04
UNH,469.91,-1.57,0.04
HD,283.91,-1.47,0.05
MA,354.37,-1.56,0.02
BAC,26.97,-3.68,0.02
DIS,95.83,-0.58,0.01
PYPL,72.56,-1.53,0.04
CRM,187.44,-0.02,0.04
PFE,40.18,-2.02,0.06
KO,59.92,-0.28,0.02
NFLX,320.37,-5.15,0.03
